,Unnamed: 0,BathroomCount,BedroomCount,ConstructionYear,Country,District,Fireplace,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
43463,61641,1.0,2,1948.0,Belgium,Mechelen,,,,,,INSTALLED,140.0,BREENDONK,0.0,3.0,D,2870,845,20009530,Antwerp,Flanders,,0.0,GOOD,house,800.0,,1.0,1.0,1,residential_monthly_rent
43464,61642,1.0,2,,Belgium,Mons,,,,,,,128.0,Colfontaine,0.0,2.0,D,7340,850,20009529,Hainaut,Wallonie,8.0,,JUST_RENOVATED,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
43467,61645,1.0,3,,Belgium,Brussels,,,,1.0,30.0,INSTALLED,125.0,Etterbeek,0.0,2.0,,1040,2000,20009533,Brussels,Brussels,8.0,,AS_NEW,house,80.0,0.0,1.0,2.0,1,residential_monthly_rent
43519,61697,2.0,5,,Belgium,Nivelles,,,,1.0,695.0,INSTALLED,200.0,Waterloo,0.0,4.0,,1410,2100,20009460,Walloon Brabant,Wallonie,,,,house,895.0,0.0,1.0,1.0,1,residential_monthly_rent
43543,61722,,2,2024.0,Belgium,Ath,,NON_FLOOD_ZONE,,1.0,14000.0,,,Frasnes-lez-Anvaing,0.0,4.0,,7911,900,20009423,Hainaut,Wallonie,9.0,1.0,AS_NEW,house,14000.0,0.0,1.0,2.0,1,residential_monthly_rent
43557,61736,1.0,2,2017.0,Belgium,Liège,,NON_FLOOD_ZONE,,1.0,20.0,INSTALLED,120.0,Grâce-Hollogne,0.0,4.0,,4460,825,20009403,Liège,Wallonie,,1.0,AS_NEW,town_house,150.0,0.0,,2.0,1,residential_monthly_rent
43657,61838,1.0,3,,Belgium,Leuven,,NON_FLOOD_ZONE,,,,,137.0,Leuven,0.0,2.0,B,3000,1500,20009267,Flemish Brabant,Flanders,1.0,0.0,AS_NEW,house,0.0,,1.0,2.0,1,residential_monthly_rent
43664,61846,1.0,3,1994.0,Belgium,Gent,,NON_FLOOD_ZONE,,1.0,300.0,,317.0,De Pinte,0.0,4.0,D,9840,1250,20009256,East Flanders,Flanders,,,AS_NEW,bungalow,840.0,0.0,1.0,2.0,1,residential_monthly_rent
43673,61855,,1,,Belgium,Ath,,,,,,INSTALLED,,Belœil,0.0,1.0,C,7973,685,20009243,Hainaut,Wallonie,,1.0,AS_NEW,house,0.0,0.0,,2.0,1,residential_monthly_rent
43675,61857,2.0,4,2011.0,Belgium,Brugge,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,144.0,Assebroek,0.0,2.0,B,8310,1150,20009242,West Flanders,Flanders,,,AS_NEW,house,258.0,,,2.0,1,residential_monthly_rent
43706,61889,1.0,4,2024.0,Belgium,Turnhout,,,,1.0,1.0,,230.0,Westerlo,0.0,4.0,,2260,1590,20009198,Antwerp,Flanders,,1.0,,house,850.0,0.0,1.0,2.0,1,residential_monthly_rent
43709,61892,2.0,3,1950.0,Belgium,Brussels,,,,,,HYPER_EQUIPPED,173.0,Auderghem,0.0,2.0,D,1160,1750,20009194,Brussels,Brussels,,,GOOD,house,173.0,0.0,1.0,3.0,1,residential_monthly_rent
43718,61901,1.0,3,,Belgium,Ath,,,,,,,120.0,Frasnes-lez-Anvaing,0.0,2.0,B,7911,795,20009185,Hainaut,Wallonie,,,,house,0.0,0.0,,,1,residential_monthly_rent
43722,61905,1.0,2,,Belgium,Bastogne,,,,1.0,1.0,INSTALLED,,Fauvillers,0.0,2.0,,6637,850,20009178,Luxembourg,Wallonie,9.0,,,house,0.0,0.0,,2.0,1,residential_monthly_rent
43726,61909,1.0,3,2001.0,Belgium,Nivelles,,NON_FLOOD_ZONE,,1.0,300.0,USA_INSTALLED,160.0,Nivelles,0.0,2.0,B,1400,1300,20009174,Walloon Brabant,Wallonie,8.0,,AS_NEW,house,509.0,0.0,1.0,2.0,1,residential_monthly_rent
43734,61917,1.0,3,,Belgium,Antwerp,,,,,,INSTALLED,236.0,MORTSEL,0.0,3.0,D,2640,1650,20009165,Antwerp,Flanders,,0.0,GOOD,house,0.0,,1.0,2.0,1,residential_monthly_rent
43745,61928,2.0,4,,Belgium,Liège,,NON_FLOOD_ZONE,,1.0,250.0,USA_INSTALLED,,Sprimont,0.0,4.0,C,4140,1350,20009155,Liège,Wallonie,8.0,,AS_NEW,villa,0.0,0.0,1.0,2.0,1,residential_monthly_rent
43751,61934,1.0,3,2020.0,Belgium,Dendermonde,,,,1.0,1.0,,,Laarne,0.0,2.0,,9270,1200,20009145,East Flanders,Flanders,10.0,,AS_NEW,exceptional_property,0.0,0.0,1.0,2.0,1,residential_monthly_rent
43759,61942,1.0,2,,Belgium,Ieper,,,,,,INSTALLED,,Reningelst,0.0,2.0,,8970,725,20009135,West Flanders,Flanders,,,AS_NEW,house,389.0,0.0,1.0,1.0,1,residential_monthly_rent
43765,61948,2.0,3,,Belgium,Leuven,1.0,NON_FLOOD_ZONE,,1.0,200.0,USA_HYPER_EQUIPPED,,Rotselaar,0.0,4.0,C,3110,1650,20009126,Flemish Brabant,Flanders,,3.0,AS_NEW,house,1500.0,0.0,1.0,2.0,1,residential_monthly_rent
43777,61960,1.0,1,,Belgium,Thuin,,,,,,INSTALLED,65.0,Haulchin,0.0,2.0,G,7120,600,20009111,Hainaut,Wallonie,,1.0,,house,0.0,,,1.0,1,residential_monthly_rent
43791,61974,1.0,3,1980.0,Belgium,Arlon,,NON_FLOOD_ZONE,,1.0,1.0,INSTALLED,,Attert,50.0,4.0,D,6717,1400,20009098,Luxembourg,Wallonie,,,JUST_RENOVATED,villa,1050.0,0.0,1.0,1.0,1,residential_monthly_rent
43798,61981,1.0,3,1957.0,Belgium,Mons,,NON_FLOOD_ZONE,,1.0,320.0,INSTALLED,,Mons,0.0,3.0,D,7022,1350,20009089,Hainaut,Wallonie,,,AS_NEW,house,520.0,0.0,1.0,1.0,1,residential_monthly_rent
43801,61984,1.0,2,2024.0,Belgium,Gent,,,,,,USA_INSTALLED,,Gent,0.0,2.0,A+,9000,1000,20009088,East Flanders,Flanders,2.0,,AS_NEW,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
43802,61985,2.0,4,1940.0,Belgium,Brussels,,,,1.0,20.0,INSTALLED,,Forest,0.0,2.0,E,1190,1850,20009087,Brussels,Brussels,,,JUST_RENOVATED,house,0.0,0.0,,3.0,1,residential_monthly_rent
43806,61989,2.0,4,1958.0,Belgium,Leuven,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,229.0,Tervuren,100.0,3.0,A,3080,2500,20009079,Flemish Brabant,Flanders,,1.0,AS_NEW,house,320.0,0.0,1.0,3.0,1,residential_monthly_rent
43823,62006,1.0,2,2021.0,Belgium,Ath,,,,,,USA_HYPER_EQUIPPED,101.0,ISIÈRES,0.0,3.0,A+,7822,950,20009062,Hainaut,Wallonie,,0.0,,house,287.0,,,1.0,1,residential_monthly_rent
43827,62010,2.0,3,,Belgium,Brugge,,,,1.0,100.0,INSTALLED,,Brugge,0.0,3.0,,8200,1125,20009056,West Flanders,Flanders,,,JUST_RENOVATED,house,300.0,0.0,1.0,3.0,1,residential_monthly_rent
43835,62018,1.0,3,,Belgium,Antwerp,,NON_FLOOD_ZONE,,1.0,140.0,INSTALLED,,Brasschaat,0.0,3.0,C,2930,1375,20009042,Antwerp,Flanders,,,GOOD,house,200.0,0.0,1.0,1.0,1,residential_monthly_rent
43838,62021,1.0,3,,Belgium,Leuven,,,,,,INSTALLED,200.0,Scherpenheuvel-Zichem,0.0,2.0,,3270,820,20009040,Flemish Brabant,Flanders,,,JUST_RENOVATED,house,90.0,0.0,,2.0,1,residential_monthly_rent
43842,62025,1.0,4,,Belgium,Tournai,,,,1.0,1.0,INSTALLED,,Péruwelz,0.0,3.0,,7604,900,20009035,Hainaut,Wallonie,,,,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
43849,62032,,4,,Belgium,Charleroi,,,,1.0,60.0,INSTALLED,,Charleroi,130.0,2.0,B,6000,405,20009021,Hainaut,Wallonie,,2.0,AS_NEW,house,0.0,0.0,1.0,3.0,1,residential_monthly_rent
43856,62039,1.0,3,,Belgium,Soignies,,,,1.0,50.0,INSTALLED,150.0,La Louvière,0.0,2.0,,7100,1200,20009011,Hainaut,Wallonie,,,AS_NEW,house,0.0,0.0,1.0,1.0,1,residential_monthly_rent
43860,62043,2.0,3,,Belgium,Nivelles,,,,1.0,800.0,,,Court-Saint-Étienne,0.0,4.0,D,1490,450,20009008,Walloon Brabant,Wallonie,,1.0,GOOD,house,1100.0,0.0,,3.0,1,residential_monthly_rent
43869,62052,1.0,2,,Belgium,Liège,,,,,,INSTALLED,100.0,Chaudfontaine,0.0,3.0,,4053,850,20009001,Liège,Wallonie,5.0,,,town_house,200.0,0.0,1.0,1.0,1,residential_monthly_rent
43881,62064,0.0,0,1975.0,Belgium,Brussels,,,,,,,,Sint-Lambrechts-Woluwe,,,,1200,32000,20008967,Brussels,Brussels,,0.0,,mixed_use_building,0.0,,,0.0,1,residential_sale
43894,62077,1.0,2,,Belgium,Kortrijk,,,,,,,,Kortrijk,0.0,1.0,B,8500,895,20008946,West Flanders,Flanders,,1.0,AS_NEW,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
43904,62087,1.0,3,1992.0,Belgium,Namur,,,,,,USA_INSTALLED,170.0,Namur,0.0,4.0,C,5020,1200,20008936,Namur,Wallonie,10.0,,AS_NEW,bungalow,750.0,0.0,1.0,1.0,1,residential_monthly_rent
43912,62103,2.0,4,2024.0,Belgium,Virton,,NON_FLOOD_ZONE,,1.0,340.0,INSTALLED,160.0,Habay,0.0,3.0,A+,6720,1750,20008918,Luxembourg,Wallonie,,,AS_NEW,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
43920,62114,2.0,3,2007.0,Belgium,Halle-Vilvoorde,1.0,NON_FLOOD_ZONE,,1.0,2000.0,HYPER_EQUIPPED,200.0,Grimbergen,250.0,3.0,A,1852,2200,20008906,Flemish Brabant,Flanders,,1.0,GOOD,exceptional_property,2500.0,0.0,1.0,2.0,1,residential_monthly_rent
43934,62128,1.0,2,,Belgium,Antwerp,,NON_FLOOD_ZONE,,1.0,54.0,SEMI_EQUIPPED,71.0,Antwerpen,0.0,2.0,C,2610,970,20008887,Antwerp,Flanders,,,AS_NEW,town_house,0.0,0.0,,1.0,1,residential_monthly_rent
43946,62140,2.0,3,,Belgium,Brussels,,,,1.0,40.0,INSTALLED,150.0,Auderghem - Transval,0.0,2.0,E,1160,2700,20008875,Brussels,Brussels,,,,house,0.0,,1.0,,1,residential_monthly_rent
43952,62146,1.0,3,,Belgium,Leuven,,,,1.0,25.0,NOT_INSTALLED,,Herent,0.0,2.0,C,3020,900,20008860,Flemish Brabant,Flanders,,,,house,212.0,0.0,,1.0,1,residential_monthly_rent
43959,62153,2.0,5,,Belgium,Nivelles,,,,1.0,50.0,HYPER_EQUIPPED,250.0,Beauvechain,0.0,4.0,,1320,1600,20008857,Walloon Brabant,Wallonie,,1.0,JUST_RENOVATED,house,1000.0,,1.0,4.0,1,residential_monthly_rent
44000,62196,1.0,3,,Belgium,Liège,,NON_FLOOD_ZONE,,1.0,370.0,INSTALLED,149.0,EMBOURG,0.0,4.0,G,4053,1050,20008793,Liège,Wallonie,,0.0,,bungalow,660.0,,1.0,1.0,1,residential_monthly_rent
44002,62198,1.0,3,,Belgium,Oudenaarde,,NON_FLOOD_ZONE,,1.0,110.0,,140.0,Oudenaarde,0.0,,B,9700,950,20008788,East Flanders,Flanders,11.0,,,house,0.0,,,2.0,1,residential_monthly_rent
44009,62205,1.0,3,,Belgium,Leuven,,NON_FLOOD_ZONE,,,,,245.0,Huldenberg,0.0,3.0,F,3040,1450,20008781,Flemish Brabant,Flanders,,,,house,450.0,0.0,,,1,residential_monthly_rent
44020,62216,1.0,3,,Belgium,Brugge,,NON_FLOOD_ZONE,,,,INSTALLED,126.0,Assebroek,0.0,,C,8310,925,20008771,West Flanders,Flanders,16.0,,GOOD,house,352.0,,,2.0,1,residential_monthly_rent
44029,62226,0.0,2,,Belgium,Thuin,,,,,,INSTALLED,124.0,Carnières,0.0,,D,7141,815,20008743,Hainaut,Wallonie,8.0,,JUST_RENOVATED,house,124.0,,,0.0,1,residential_monthly_rent
44033,62230,1.0,4,,Belgium,Eeklo,,NON_FLOOD_ZONE,,,,INSTALLED,,Bassevelde,0.0,,E,9968,995,20008737,East Flanders,Flanders,21.0,,AS_NEW,house,0.0,,,1.0,1,residential_monthly_rent
44041,62238,1.0,3,2024.0,Belgium,Brugge,,,,,,,145.0,Sint-Michiels,0.0,,A,8200,1200,20008726,West Flanders,Flanders,13.0,,GOOD,house,0.0,,,2.0,1,residential_monthly_rent
44045,62242,1.0,2,,Belgium,Mons,,NON_FLOOD_ZONE,,,,INSTALLED,,Lens,0.0,2.0,B,7870,749,20008723,Hainaut,Wallonie,6.0,,,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
44067,62265,,2,,Belgium,Charleroi,,NON_FLOOD_ZONE,,,,INSTALLED,,Dampremy,0.0,3.0,G,6030,650,20008683,Hainaut,Wallonie,,1.0,JUST_RENOVATED,house,0.0,0.0,,1.0,1,residential_monthly_rent
44085,62286,2.0,5,,Belgium,Diksmuide,,,,,,SEMI_EQUIPPED,184.0,Beerst,0.0,,B,8600,990,20008659,West Flanders,Flanders,15.0,,,house,0.0,,1.0,1.0,1,residential_monthly_rent
44103,62305,1.0,1,,Belgium,Oudenaarde,,,,,,,,Kluisbergen,0.0,,D,9690,483,20008635,East Flanders,Flanders,4.0,,,house,68.0,,,0.0,1,residential_monthly_rent
44140,62343,1.0,3,,Belgium,Brugge,,NON_FLOOD_ZONE,,,,,103.0,Heist-aan-Zee,0.0,3.0,E,8301,1025,20008590,West Flanders,Flanders,1.0,0.0,AS_NEW,house,0.0,,1.0,2.0,1,residential_monthly_rent
44147,62350,1.0,4,,Belgium,Charleroi,,,,1.0,200.0,USA_INSTALLED,,Charleroi,0.0,3.0,E,6040,1050,20008577,Hainaut,Wallonie,,,,house,0.0,0.0,,,1,residential_monthly_rent
44153,62357,1.0,3,,Belgium,Ieper,,,,,,INSTALLED,130.0,Poperinge,0.0,2.0,,8970,895,20008570,West Flanders,Flanders,,,AS_NEW,house,433.0,0.0,,1.0,1,residential_monthly_rent
44156,62360,2.0,2,,Belgium,Liège,1.0,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,90.0,Sprimont,0.0,2.0,,4140,990,20008567,Liège,Wallonie,,,AS_NEW,house,0.0,0.0,1.0,,1,residential_monthly_rent
44167,62371,1.0,5,,Belgium,Namur,1.0,,,1.0,1.0,USA_SEMI_EQUIPPED,,Éghezée,0.0,3.0,,5310,2200,20008552,Namur,Wallonie,,2.0,,house,0.0,0.0,1.0,4.0,1,residential_monthly_rent
44176,62380,1.0,4,,Belgium,Charleroi,,NON_FLOOD_ZONE,,1.0,120.0,USA_INSTALLED,180.0,Montigny-le-Tilleul,0.0,2.0,,6110,1200,20008538,Hainaut,Wallonie,3.0,1.0,JUST_RENOVATED,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
44208,62412,1.0,2,,Belgium,Oudenaarde,,,,1.0,150.0,,,Wortegem-Petegem,0.0,2.0,,9790,700,20008498,East Flanders,Flanders,,,,house,0.0,0.0,,,1,residential_monthly_rent
44222,62426,1.0,3,,Belgium,Antwerp,,NON_FLOOD_ZONE,,,,INSTALLED,191.0,ANTWERPEN,0.0,2.0,C,2018,1600,20008470,Antwerp,Flanders,,1.0,AS_NEW,house,0.0,,1.0,2.0,1,residential_monthly_rent
44231,62435,1.0,3,2023.0,Belgium,Turnhout,,,,,,INSTALLED,101.0,BALEN,0.0,3.0,,2490,1100,20008461,Antwerp,Flanders,,0.0,,house,244.0,,,1.0,1,residential_monthly_rent
44233,62437,1.0,3,2023.0,Belgium,Turnhout,,,,,,INSTALLED,100.0,BALEN,0.0,3.0,,2490,1100,20008460,Antwerp,Flanders,,0.0,,house,306.0,,,1.0,1,residential_monthly_rent
44234,62438,1.0,3,2023.0,Belgium,Turnhout,,,,,,INSTALLED,101.0,BALEN,0.0,3.0,,2490,1100,20008459,Antwerp,Flanders,,0.0,,house,352.0,,,1.0,1,residential_monthly_rent
44235,62439,1.0,3,2023.0,Belgium,Turnhout,,,,,,INSTALLED,101.0,BALEN,0.0,3.0,,2490,1100,20008458,Antwerp,Flanders,,0.0,,house,234.0,,,1.0,1,residential_monthly_rent
44257,62461,1.0,6,1936.0,Belgium,Mechelen,,NON_FLOOD_ZONE,,1.0,120.0,,230.0,Puurs-Sint-Amands,0.0,2.0,B,2870,1250,20008434,Antwerp,Flanders,1.0,0.0,AS_NEW,house,263.0,,,1.0,1,residential_monthly_rent
44258,62462,2.0,4,1950.0,Belgium,Brussels,,NON_FLOOD_ZONE,,1.0,250.0,INSTALLED,220.0,Uccle,50.0,2.0,E,1180,3500,20008435,Brussels,Brussels,,2.0,GOOD,house,425.0,0.0,1.0,3.0,1,residential_monthly_rent
44274,62478,1.0,2,,Belgium,Verviers,,,,1.0,40.0,,,Herve,0.0,3.0,D,4654,720,20008416,Liège,Wallonie,,,GOOD,house,105.0,0.0,,2.0,1,residential_monthly_rent
44338,62545,1.0,3,,Belgium,Roeselare,,,,,,,,LICHTERVELDE,0.0,3.0,F,8810,760,20008324,West Flanders,Flanders,,0.0,,house,250.0,,1.0,0.0,1,residential_monthly_rent
44456,62693,2.0,5,1980.0,Belgium,Nivelles,1.0,,,1.0,120.0,INSTALLED,270.0,Ottignies-Louvain-la-Neuve,60.0,2.0,C,1348,500,11408185,Walloon Brabant,Wallonie,,,AS_NEW,mixed_use_building,0.0,0.0,1.0,2.0,1,residential_monthly_rent
44518,62758,1.0,4,2002.0,Belgium,Liège,,,,,,INSTALLED,,Esneux,0.0,4.0,C,4130,1400,11408007,Liège,Wallonie,,1.0,JUST_RENOVATED,house,0.0,,,2.0,1,residential_monthly_rent
44745,63001,2.0,3,,Belgium,Nivelles,,NON_FLOOD_ZONE,,,,SEMI_EQUIPPED,150.0,Rixensart,0.0,2.0,E,1330,1200,11407380,Walloon Brabant,Wallonie,,2.0,GOOD,house,0.0,,,2.0,1,residential_monthly_rent
44750,63006,2.0,3,1973.0,Belgium,Halle-Vilvoorde,,,,1.0,500.0,HYPER_EQUIPPED,175.0,Rhode-Saint-Genèse,0.0,4.0,C,1640,2100,11407372,Flemish Brabant,Flanders,,,GOOD,villa,760.0,0.0,1.0,3.0,1,residential_monthly_rent
44820,63076,1.0,3,2017.0,Belgium,Tournai,,NON_FLOOD_ZONE,,,,INSTALLED,185.0,PECQ,0.0,2.0,A,7740,1130,11407217,Hainaut,Wallonie,,,GOOD,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
44828,63084,4.0,5,,Belgium,Leuven,,NON_FLOOD_ZONE,,1.0,3000.0,HYPER_EQUIPPED,650.0,Tervuren,0.0,4.0,C,3080,4900,11407196,Flemish Brabant,Flanders,5.0,4.0,GOOD,house,3500.0,0.0,1.0,,1,residential_monthly_rent
44907,63169,0.0,0,,Belgium,Diksmuide,,NON_FLOOD_ZONE,,,,,,Kortemark,,,,8610,13000,11406956,West Flanders,Flanders,,,GOOD,mixed_use_building,0.0,,,0.0,1,residential_sale
44921,63184,1.0,4,2023.0,Belgium,Gent,,,,,,,187.0,Poesele,0.0,,,9850,1150,11406909,East Flanders,Flanders,15.0,,GOOD,house,470.0,,,2.0,1,residential_monthly_rent
44941,63204,1.0,4,,Belgium,Gent,,,,,,INSTALLED,213.0,Sint-Martens-Latem,120.0,,C,9830,1250,11406868,East Flanders,Flanders,15.0,,JUST_RENOVATED,house,0.0,,,2.0,1,residential_monthly_rent
44990,63258,1.0,3,2018.0,Belgium,Diksmuide,,NON_FLOOD_ZONE,,,,INSTALLED,106.0,Kortemark,0.0,,A,8610,900,11406766,West Flanders,Flanders,13.0,,GOOD,house,154.0,,,1.0,1,residential_monthly_rent
45014,63284,1.0,3,,Belgium,Tielt,,,,,,,,Oostrozebeke,0.0,,,8780,825,11406579,West Flanders,Flanders,12.0,,JUST_RENOVATED,house,0.0,,,0.0,1,residential_monthly_rent
45046,63318,1.0,5,,Belgium,Namur,,,,,,USA_HYPER_EQUIPPED,,Ernage,0.0,4.0,A,5030,2000,11406464,Namur,Wallonie,,1.0,,house,850.0,0.0,1.0,2.0,1,residential_monthly_rent
45052,63326,1.0,4,1930.0,Belgium,Brussels,,,,1.0,64.0,USA_HYPER_EQUIPPED,,Uccle,0.0,2.0,,1180,2200,11406453,Brussels,Brussels,,,JUST_RENOVATED,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
45079,63360,1.0,6,,Belgium,Verviers,,,,,,,270.0,Henri-Chapelle,0.0,3.0,D,4841,995,11406343,Liège,Wallonie,,1.0,,house,0.0,,1.0,2.0,1,residential_monthly_rent
45090,63371,1.0,3,,Belgium,Halle-Vilvoorde,,NON_FLOOD_ZONE,,,,INSTALLED,230.0,GRIMBERGEN,0.0,4.0,B,1850,1950,11406305,Flemish Brabant,Flanders,,0.0,AS_NEW,villa,740.0,,1.0,2.0,1,residential_monthly_rent
45139,63421,4.0,7,2009.0,Belgium,Nivelles,,,,,,HYPER_EQUIPPED,500.0,Waterloo,0.0,4.0,B,1410,5000,11406174,Walloon Brabant,Wallonie,,,AS_NEW,villa,1400.0,0.0,1.0,,1,residential_monthly_rent
45176,63458,2.0,4,,Belgium,Liège,,NON_FLOOD_ZONE,,,,,199.0,Seraing,0.0,3.0,,4100,1700,11406046,Liège,Wallonie,,,,house,165.0,0.0,,,1,residential_monthly_rent
45186,63470,3.0,4,1974.0,Belgium,Halle-Vilvoorde,,NON_FLOOD_ZONE,,1.0,200.0,HYPER_EQUIPPED,175.0,Overijse,0.0,4.0,D,3090,1900,11405945,Flemish Brabant,Flanders,,,JUST_RENOVATED,villa,569.0,0.0,1.0,2.0,1,residential_monthly_rent
45192,63476,,2,,Belgium,Huy,,,,,,,,Burdinne,,4.0,,4210,19500,11405939,Liège,Wallonie,,,TO_RENOVATE,house,219.0,0.0,,,1,residential_sale
45236,63528,1.0,4,,Belgium,Liège,,,,,,,140.0,Wandre,,2.0,D,4020,40000,11405803,Liège,Wallonie,,0.0,TO_BE_DONE_UP,house,0.0,,,1.0,1,residential_sale
45248,63541,3.0,5,1999.0,Belgium,Halle-Vilvoorde,1.0,,,,,HYPER_EQUIPPED,300.0,VLEZENBEEK,0.0,4.0,C,1602,2950,11405724,Flemish Brabant,Flanders,,0.0,JUST_RENOVATED,villa,0.0,,1.0,2.0,1,residential_monthly_rent
45249,63542,3.0,5,1999.0,Belgium,Halle-Vilvoorde,1.0,,,,,HYPER_EQUIPPED,300.0,SINT-PIETERS-LEEUW,0.0,4.0,C,1600,2950,11405723,Flemish Brabant,Flanders,,0.0,JUST_RENOVATED,villa,1290.0,,1.0,2.0,1,residential_monthly_rent
45250,63543,3.0,5,1999.0,Belgium,Halle-Vilvoorde,1.0,,,,,HYPER_EQUIPPED,300.0,Lennik,0.0,4.0,C,1750,2950,11405722,Flemish Brabant,Flanders,,0.0,JUST_RENOVATED,villa,1290.0,,1.0,2.0,1,residential_monthly_rent
45251,63544,3.0,5,1999.0,Belgium,Halle-Vilvoorde,1.0,,,,,HYPER_EQUIPPED,300.0,DILBEEK,0.0,4.0,C,1700,2950,11405721,Flemish Brabant,Flanders,,0.0,JUST_RENOVATED,villa,1290.0,,1.0,2.0,1,residential_monthly_rent
45252,63545,3.0,5,1999.0,Belgium,Brussels,1.0,,,,,HYPER_EQUIPPED,300.0,ANDERLECHT,0.0,4.0,E,1070,2950,11405720,Brussels,Brussels,,0.0,JUST_RENOVATED,villa,1290.0,,1.0,2.0,1,residential_monthly_rent
45255,63548,,3,,Belgium,Bastogne,,,,,,INSTALLED,201.0,Vielsalm,0.0,3.0,D,6690,820,11405708,Luxembourg,Wallonie,,1.0,,house,260.0,,,1.0,1,residential_monthly_rent
45261,63555,2.0,3,1930.0,Belgium,Brussels,,NON_FLOOD_ZONE,,1.0,150.0,INSTALLED,211.0,Uccle,0.0,3.0,F,1180,2250,11405699,Brussels,Brussels,,1.0,AS_NEW,house,243.0,0.0,1.0,2.0,1,residential_monthly_rent
45352,63654,2.0,4,,Belgium,Brugge,,,,1.0,1200.0,,372.0,Oedelem,0.0,4.0,C,8730,1950,11405412,West Flanders,Flanders,1.0,0.0,,house,0.0,,,2.0,1,residential_monthly_rent
45406,63712,1.0,1,1981.0,Belgium,Tournai,,NON_FLOOD_ZONE,,,,INSTALLED,42.0,Templeuve,0.0,2.0,C,7520,600,11405175,Hainaut,Wallonie,,1.0,GOOD,bungalow,0.0,0.0,1.0,1.0,1,residential_monthly_rent
45456,63764,1.0,3,,Belgium,Liège,,NON_FLOOD_ZONE,,,,INSTALLED,,Grivegnée,0.0,,C,4030,900,11405023,Liège,Wallonie,,1.0,AS_NEW,house,0.0,0.0,,3.0,1,residential_monthly_rent
45584,63905,1.0,2,,Belgium,Turnhout,,,,,,SEMI_EQUIPPED,152.0,VORSELAAR,0.0,3.0,D,2290,670,11404657,Antwerp,Flanders,,0.0,GOOD,house,0.0,,,1.0,1,residential_monthly_rent
45650,63971,3.0,5,,Belgium,Brussels,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,390.0,Schaerbeek,1.0,2.0,G,1030,2950,11404502,Brussels,Brussels,,,AS_NEW,house,0.0,0.0,1.0,3.0,1,residential_monthly_rent
45687,64008,4.0,4,1958.0,Belgium,Brussels,,NON_FLOOD_ZONE,,1.0,100.0,HYPER_EQUIPPED,570.0,Uccle,0.0,2.0,D,1180,7600,11404409,Brussels,Brussels,4.0,,AS_NEW,house,0.0,0.0,1.0,,1,residential_monthly_rent
45689,64010,4.0,4,2013.0,Belgium,Brussels,,NON_FLOOD_ZONE,,,,INSTALLED,729.0,Uccle,0.0,4.0,C,1180,12000,11404412,Brussels,Brussels,4.0,,AS_NEW,house,0.0,1.0,1.0,,1,residential_monthly_rent
45690,64012,4.0,6,2001.0,Belgium,Brussels,,NON_FLOOD_ZONE,,1.0,600.0,HYPER_EQUIPPED,892.0,Uccle,0.0,4.0,D,1180,12000,11404394,Brussels,Brussels,,4.0,GOOD,villa,1500.0,1.0,1.0,6.0,1,residential_monthly_rent
45709,64031,1.0,3,,Belgium,Turnhout,,,,,,,,Grobbendonk,0.0,3.0,A,2280,1325,11404341,Antwerp,Flanders,,,GOOD,house,0.0,,1.0,2.0,1,residential_monthly_rent
45737,64060,1.0,3,2018.0,Belgium,Turnhout,,NON_FLOOD_ZONE,,1.0,190.0,HYPER_EQUIPPED,188.0,Arendonk,0.0,4.0,A,2370,1950,11404267,Antwerp,Flanders,,1.0,AS_NEW,house,479.0,,1.0,2.0,1,residential_monthly_rent
45750,64074,3.0,5,,Belgium,Brussels,,,,1.0,20.0,USA_HYPER_EQUIPPED,265.0,Uccle,0.0,2.0,D,1180,3100,11404208,Brussels,Brussels,,,,house,80.0,0.0,,4.0,1,residential_monthly_rent
45753,64077,,3,,Belgium,Brussels,1.0,,,1.0,155.0,HYPER_EQUIPPED,,Woluwe-Saint-Pierre,0.0,2.0,F,1150,2100,11404206,Brussels,Brussels,,1.0,JUST_RENOVATED,house,200.0,0.0,1.0,2.0,1,residential_monthly_rent
