,Unnamed: 0,BathroomCount,BedroomCount,ConstructionYear,Country,District,Fireplace,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
27228,43296,1.0,3,,Belgium,Ath,,,,,,INSTALLED,230.0,FRASNES-LEZ-BUISSENAL,0.0,2.0,D,7911,1100,20007448,Hainaut,Wallonie,,1.0,JUST_RENOVATED,house,0.0,,,2.0,1,residential_monthly_rent
27232,43304,2.0,0,,Belgium,Antwerp,,,,,,,208.0,Antwerpen,0.0,4.0,A++,2000,1950,20007435,Antwerp,Flanders,4.0,0.0,,house,0.0,,,0.0,1,residential_monthly_rent
27263,43336,1.0,3,,Belgium,Oudenaarde,,NON_FLOOD_ZONE,,,,SEMI_EQUIPPED,141.0,Bevere,0.0,3.0,B,9700,875,11456875,East Flanders,Flanders,,0.0,GOOD,house,0.0,,,2.0,1,residential_monthly_rent
27291,43366,1.0,2,,Belgium,Aalst,,NON_FLOOD_ZONE,,,,INSTALLED,147.0,Aalst,0.0,2.0,C,9300,1000,11456823,East Flanders,Flanders,,,AS_NEW,mansion,0.0,,1.0,,1,residential_monthly_rent
27302,43381,1.0,3,,Belgium,Hasselt,,,,,,,,Hasselt,0.0,2.0,E,3500,795,20007417,Limburg,Flanders,1.0,0.0,GOOD,house,0.0,,1.0,0.0,1,residential_monthly_rent
27309,43388,1.0,3,,Belgium,Neufchâteau,,,,,,INSTALLED,,Bouillon,0.0,3.0,D,6830,950,20007404,Luxembourg,Wallonie,,,GOOD,house,0.0,0.0,,1.0,1,residential_monthly_rent
27330,43409,1.0,5,,Belgium,Brugge,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,116.0,Knokke-Heist,0.0,3.0,,8300,2750,20007375,West Flanders,Flanders,,,AS_NEW,villa,0.0,,1.0,2.0,1,residential_monthly_rent
27331,43410,2.0,3,2004.0,Belgium,Aalst,,,,,,HYPER_EQUIPPED,203.0,Erpe-Mere,0.0,4.0,C,9420,1300,20007372,East Flanders,Flanders,,2.0,AS_NEW,villa,0.0,,1.0,2.0,1,residential_monthly_rent
27335,43414,3.0,5,1930.0,Belgium,Brussels,,NON_FLOOD_ZONE,,1.0,300.0,,280.0,Uccle,0.0,2.0,G,1180,2800,20007368,Brussels,Brussels,,3.0,AS_NEW,house,300.0,0.0,1.0,3.0,1,residential_monthly_rent
27354,43433,1.0,2,,Belgium,Gent,,POSSIBLE_FLOOD_ZONE,,,,SEMI_EQUIPPED,71.0,GAVERE,0.0,3.0,D,9890,725,20007344,East Flanders,Flanders,,0.0,GOOD,house,0.0,,,1.0,1,residential_monthly_rent
27358,43437,1.0,3,,Belgium,Nivelles,,,,1.0,370.0,INSTALLED,100.0,REBECQ-ROGNON,0.0,3.0,E,1430,1250,20007338,Walloon Brabant,Wallonie,,0.0,,house,550.0,,1.0,1.0,1,residential_monthly_rent
